"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AL627309.1",650.219269515362,2.12417878404414,0.288131157306928,7.09737042161179e-15,2.96510392788887e-11
"RP11-34P13.14",3.88648359274276,0.0368439649460455,0.220678136867693,0.0382124540392752,NA
"AP006222.2",4.87054577313934,0.0257040711689637,0.217520735518,0.283738072164512,NA
"RP4-669L17.10",26.3115633446893,0.143448138190452,0.270760406681491,0.0685893267503335,0.354927627467967
"RP11-206L10.3",22.0378793495238,0.870527760323234,0.851601607308406,0.0064663361607519,0.100426527492867
"RP11-206L10.5",3.18817601998874,0.0255983356497639,0.216229438038382,0.434005222880658,NA
"RP11-206L10.2",31.2496613798161,0.329770664212375,0.562090693796989,0.0207031277628093,0.195352889917733
"RP11-206L10.9",17.4589996284199,0.0620688673177864,0.219555912572905,0.311960495233752,0.679240630078337
"FAM87B",2.29240003841392,0.00242483196036518,0.215905617103505,0.881794332466852,NA
"LINC00115",18.2351771646781,-0.0244158978189508,0.211659572586206,0.637263919627521,0.878195945156584
"RP11-54O7.16",2.00771350741349,-0.00905494591342606,0.216214395913383,0.566013015016222,NA
"RP11-54O7.1",18.3193439620555,0.0125621960239992,0.215685452971317,NA,NA
"RP11-54O7.3",4.45504568816335,-0.0147531444460393,0.215645218148241,0.57065917363257,NA
"SAMD11",32.0509040612902,0.0486512810578433,0.211426258085004,0.480644375102535,0.800962121294222
"NOC2L",3543.19145152355,0.0199633722131917,0.167095073148734,0.862056213061877,0.961798729902326
"KLHL17",377.872779720407,0.144864531709566,0.242814148491478,0.163208451873866,0.518808529439639
"PLEKHN1",24.004653344816,0.0736528578101023,0.227721193893568,0.173291426208372,0.533998344711064
"C1orf170",4.27213721989408,0.0274305154261525,0.217805412856914,0.258498399565177,NA
"RP11-54O7.17",10.9599906046464,0.00189498549661337,0.215405025334711,0.936442481530463,0.98443830664474
"HES4",300.073523041298,-0.169086060578314,0.294042498322843,0.0572843451354461,0.324392015511194
"RP11-54O7.11",1.98709272114598,-0.0339963578377255,0.21981766873188,0.0761269106485869,NA
"ISG15",1113.78635918925,0.0795754408825956,0.23064283447472,NA,NA
"AGRN",9008.09460547315,0.200470890361902,0.225235067670622,0.119310318371643,0.452812680026169
"RP11-54O7.18",26.9652613661756,0.0330670493300036,0.214375788247619,0.497838071669895,0.811408564876193
"C1orf159",322.725817080894,-0.00962173862667868,0.146059874813057,0.927242573577742,0.981451143087006
"RP11-465B22.8",2.81726360255691,0.0331406006503816,0.218129722615636,0.277640477884968,NA
"TTLL10-AS1",2.11557100291292,-0.00187341560967787,0.215557115472895,0.922470667415129,NA
"TTLL10",1.83074734347541,0.00142560485381929,0.215896454629927,0.929702059747279,NA
"TNFRSF18",8.4475933292675,-0.011757722754421,0.215200871184603,0.663755316352746,0.89108245938992
"TNFRSF4",3.59580037791549,0.0227512781602274,0.214836967493943,0.547213747042575,NA
"SDF4",2171.6302863608,-0.0921216854429653,0.123411510600656,0.361462416155173,0.719891945506464
