Id,Weight,Label,type
HGC6.3,19,HGC6.3,gene
HHLA1,21,HHLA1,gene
HINFP,2,HINFP,tf
HNF1A,15,HNF1A,tf
HNF1B,23,HNF1B,tf
HNF4A,16,HNF4A,tf
HOXA1,16,HOXA1,tf
HOXA10,5,HOXA10,tf
HOXA2,13,HOXA2,tf
HOXB13,15,HOXB13,tf
HOXB4,2,HOXB4,tf
HOXC9,7,HOXC9,tf
HOXD12,9,HOXD12,tf
HOXD13,8,HOXD13,tf
HPS4,15,HPS4,gene
HRE,14,HRE,tf
HRH1,7,HRH1,gene
HSD52,6,HSD52,gene
HSF1,9,HSF1,tf
HSPA8,18,HSPA8,gene
HTR3D,15,HTR3D,gene
IFIT3,16,IFIT3,gene
IFT81,12,IFT81,gene
IL1RAP,23,IL1RAP,gene
IL1RAPL1,16,IL1RAPL1,gene
IQSEC3,11,IQSEC3,gene
IRF:BATF,22,IRF:BATF,tf
IRF1,27,IRF1,tf
IRF3,29,IRF3,tf
IRF4,2,IRF4,tf
IRF8,26,IRF8,tf
IRF8_2,21,IRF8_2,tf
ISRE,17,ISRE,tf
ITGAX,16,ITGAX,gene
JUN,118,JUN,tf
JUNB,29,JUNB,tf
JUND,11,JUND,tf
KANK1,18,KANK1,gene
KATNBL1,14,KATNBL1,gene
KCNK3,15,KCNK3,gene
KCNK9,19,KCNK9,gene
KCNMA1-AS3,26,KCNMA1-AS3,gene
KCNQ3,19,KCNQ3,gene
KIAA1211L,13,KIAA1211L,gene
KIF5C,4,KIF5C,gene
KLF1,32,KLF1,tf
KLF10,30,KLF10,tf
KLF14,53,KLF14,tf
KLF3,72,KLF3,tf
KLF4,30,KLF4,tf
KLF5,41,KLF5,tf
KLF6,44,KLF6,tf
KLF9,37,KLF9,tf
LBR,9,LBR,gene
LEF1,10,LEF1,tf
LGALS9,25,LGALS9,gene
LHFPL3-AS1,9,LHFPL3-AS1,gene
LHX3,4,LHX3,tf
LIMCH1,9,LIMCH1,gene
LINC00239,18,LINC00239,gene
LINC00359,17,LINC00359,gene
LINC00411,25,LINC00411,gene
LINC00430,15,LINC00430,gene
LINC00504,13,LINC00504,gene
LINC00668,23,LINC00668,gene
LINC01085,33,LINC01085,gene
LINC01378,11,LINC01378,gene
LINC01426,12,LINC01426,gene
LINC01500,8,LINC01500,gene
LINC01580,18,LINC01580,gene
LINC01614,11,LINC01614,gene
LINC01663,23,LINC01663,gene
LINC01847,14,LINC01847,gene
LINC02014,32,LINC02014,gene
LINC02275,15,LINC02275,gene
LINC02301,21,LINC02301,gene
LINC02351,19,LINC02351,gene
LINC02535,11,LINC02535,gene
LINC02567,8,LINC02567,gene
LINC02570,13,LINC02570,gene
LINC02575,10,LINC02575,gene
LIVAR,27,LIVAR,gene
LMO2,9,LMO2,gene
LOC100130331,15,LOC100130331,gene
LOC100505555,7,LOC100505555,gene
LOC100506585,22,LOC100506585,gene
LOC101926968,17,LOC101926968,gene
LOC101927023,10,LOC101927023,gene
LOC101928161,7,LOC101928161,gene
LOC101928371,10,LOC101928371,gene
LOC101928429,12,LOC101928429,gene
LOC101928461,35,LOC101928461,gene
LOC101928626,13,LOC101928626,gene
LOC101929653,18,LOC101929653,gene
LOC102725193,7,LOC102725193,gene
LOC105369438,15,LOC105369438,gene
LOC105369509,6,LOC105369509,gene
LOC105369921,12,LOC105369921,gene
LOC105370586,5,LOC105370586,gene
LOC105372068,11,LOC105372068,gene
LOC105378311,10,LOC105378311,gene
LOC400627,12,LOC400627,gene
LOC644554,13,LOC644554,gene
LOC645166,21,LOC645166,gene
LOC651337,18,LOC651337,gene
LOC728392,7,LOC728392,gene
LRF,1,LRF,tf
LRP1B,10,LRP1B,gene
LRRC4C,5,LRRC4C,gene
MACF1,25,MACF1,gene
MAFA,23,MAFA,tf
MAFB,16,MAFB,tf
MAFF,13,MAFF,tf
MAFK,38,MAFK,tf
MAP2K6,13,MAP2K6,gene
MAST4,11,MAST4,gene
MAX,2,MAX,tf
MAZ,5,MAZ,tf
MBD3L1,30,MBD3L1,gene
MBNL2,11,MBNL2,gene
MCF2L,13,MCF2L,gene
MDGA2,23,MDGA2,gene
MDM4,21,MDM4,gene
MEF2A,7,MEF2A,tf
MEF2B,4,MEF2B,tf
MEF2C,13,MEF2C,tf
MEF2D,9,MEF2D,tf
MICU2,14,MICU2,gene
MIR1267,11,MIR1267,gene
MIR1268A,10,MIR1268A,gene
MIR146A,5,MIR146A,gene
MIR28,7,MIR28,gene
MIR3123,27,MIR3123,gene
MIR3918,11,MIR3918,gene
MIR3919,22,MIR3919,gene
MIR3922,11,MIR3922,gene
MIR3923,20,MIR3923,gene
MIR4317,10,MIR4317,gene
MIR4427,8,MIR4427,gene
MIR4705,23,MIR4705,gene
MIR4711,10,MIR4711,gene
MIR4713HG,13,MIR4713HG,gene
MIR4718,6,MIR4718,gene
MIR4798,15,MIR4798,gene
MIR5011,14,MIR5011,gene
MIR561,10,MIR561,gene
MIR577,5,MIR577,gene
MIR586,9,MIR586,gene
MIR592,37,MIR592,gene
MIR619,19,MIR619,gene
MIR6502,14,MIR6502,gene
MIR7978,12,MIR7978,gene
MIR8055,4,MIR8055,gene
MITF,7,MITF,tf
MKLN1-AS,13,MKLN1-AS,gene
MNT,11,MNT,tf
MPV17,13,MPV17,gene
MROH2A,8,MROH2A,gene
MRPL37,14,MRPL37,gene
MTMR7,10,MTMR7,gene
MTRNR2L1,11,MTRNR2L1,gene
MUC16,26,MUC16,gene
MYBL1,6,MYBL1,tf
MYC,8,MYC,tf
MYCN,8,MYCN,tf
MYF5,27,MYF5,tf
MYLK2,5,MYLK2,gene
MYLK4,13,MYLK4,gene
MYNN,10,MYNN,tf
MYO16-AS1,28,MYO16-AS1,gene
MYOD1,24,MYOD1,tf
MYOG,35,MYOG,tf
NALCN,16,NALCN,gene
NANOG,2,NANOG,tf
NAV2-AS5,28,NAV2-AS5,gene
NEDD4L,9,NEDD4L,gene
NEURL1-AS1,7,NEURL1-AS1,gene
NEUROD1,23,NEUROD1,tf
NEUROG2,20,NEUROG2,tf
NF1:FOXA1,8,NF1:FOXA1,tf
NFAT:AP1,18,NFAT:AP1,tf
NFATC1,16,NFATC1,tf
NFE2,43,NFE2,tf
NFE2L2,34,NFE2L2,tf
NFE2L2_2,32,NFE2L2_2,tf
NFIB,9,NFIB,tf
NFKB-P65-REL,14,NFKB-P65-REL,tf
NFKB1,11,NFKB1,tf
NFYA,31,NFYA,tf
NIFK-AS1,22,NIFK-AS1,gene
NINL,10,NINL,gene
NKX3-1,12,NKX3-1,tf
NOL4,5,NOL4,gene
NPAS2,8,NPAS2,tf
NPAS3,9,NPAS3,gene
NPS,20,NPS,gene
NR1D1,7,NR1D1,tf
NR1H2,13,NR1H2,tf
NR1H4,7,NR1H4,tf
NR2C2,10,NR2C2,tf
NR2E1,10,NR2E1,tf
NR3C1,5,NR3C1,tf
NR4A1,16,NR4A1,tf
NR5A2,16,NR5A2,tf
NR5A2_2,19,NR5A2_2,tf
NRF,1,NRF,tf
NRF1,2,NRF1,tf
NRP2,9,NRP2,gene
NRXN3,14,NRXN3,gene
NSMF,14,NSMF,gene
NTM,24,NTM,gene
NUP35,8,NUP35,gene
OCA2,11,OCA2,gene
OCT:OCT,5,OCT:OCT,tf
OCT:OCT_2,6,OCT:OCT_2,tf
OCT:OCT_3,16,OCT:OCT_3,tf
OCT:OCT-SHORT,1,OCT:OCT-SHORT,tf
OCT4-SOX2-TCF-NANOG,35,OCT4-SOX2-TCF-NANOG,tf
OCT4:SOX17,4,OCT4:SOX17,tf
OLIG2,2,OLIG2,tf
OPALIN,12,OPALIN,gene
OR7C2,13,OR7C2,gene
OSBP2,16,OSBP2,gene
OSBPL1A,15,OSBPL1A,gene
P53,15,P53,tf
P53_2,13,P53_2,tf
P73,13,P73,tf
PARVA,26,PARVA,gene
PAX3:FKHR-FUSION,6,PAX3:FKHR-FUSION,tf
PAX5,8,PAX5,tf
PAX5_2,8,PAX5_2,tf
PAX6,8,PAX6,tf
PAX7,7,PAX7,tf
PAX7_2,2,PAX7_2,tf
PAX7_3,2,PAX7_3,tf
PAX8,22,PAX8,tf
PBX1,9,PBX1,tf
PBX2,3,PBX2,tf
PBX3,12,PBX3,tf
PCP4,18,PCP4,gene
PCSK5,6,PCSK5,gene
PDE2A,23,PDE2A,gene
PDGFC,12,PDGFC,gene
PDLIM1,12,PDLIM1,gene
PDX1,9,PDX1,tf
PGBD4,12,PGBD4,gene
PGBD5,17,PGBD5,gene
PGR,11,PGR,tf
PHOX2A,5,PHOX2A,tf
PHOX2B,1,PHOX2B,tf
PID1,17,PID1,gene
PIEZO2,17,PIEZO2,gene
PIGV,10,PIGV,gene
PIT1+1BP,8,PIT1+1BP,tf
PITX1:EBOX,14,PITX1:EBOX,tf
PKNOX1,11,PKNOX1,tf
PLA2G4D,25,PLA2G4D,gene
PLB1,27,PLB1,gene
PLCD3,21,PLCD3,gene
PLCZ1,11,PLCZ1,gene
PLEKHG1,16,PLEKHG1,gene
PLN,44,PLN,gene
PMFBP1,31,PMFBP1,gene
POU1F1,10,POU1F1,tf
POU2F2,35,POU2F2,tf
POU3F1,38,POU3F1,tf
POU3F2,12,POU3F2,tf
POU3F3,32,POU3F3,tf
POU4F1,11,POU4F1,gene
POU5F1,33,POU5F1,tf
PPARA,16,PPARA,tf
PPARG,24,PPARG,tf
PPCDC,18,PPCDC,gene
PR,3,PR,tf
PRDM1,21,PRDM1,tf
PRDM10,22,PRDM10,tf
PRDM14,6,PRDM14,tf
PRDM15,14,PRDM15,tf
PRDM9,16,PRDM9,tf
PRKD1,29,PRKD1,gene
PRKG2,20,PRKG2,gene
PROM2,13,PROM2,gene
PROP1,1,PROP1,tf
PRSS22,13,PRSS22,gene
PSAPL1,13,PSAPL1,gene
PSE,10,PSE,tf
PTF1A,5,PTF1A,tf
PTGER4,22,PTGER4,gene
PTPN4,7,PTPN4,gene
PTPRJ,21,PTPRJ,gene
PU.1-IRF,26,PU.1-IRF,tf
PVRIG,10,PVRIG,gene
PYGB,16,PYGB,gene
RAB27B,11,RAB27B,gene
RAB2A,6,RAB2A,gene
RALGDS,25,RALGDS,gene
RAMP1,7,RAMP1,gene
RAR:RXR,18,RAR:RXR,tf
RARG,15,RARG,tf
RARRES1,21,RARRES1,gene
RARS2,19,RARS2,gene
RASA3,24,RASA3,gene
RASAL3,14,RASAL3,gene
RASEF,11,RASEF,gene
RASL11B,17,RASL11B,gene
RASSF2,18,RASSF2,gene
RBFOX1,9,RBFOX1,gene
RBP2,5,RBP2,gene
RBPJ,16,RBPJ,tf
RBPJ:EBOX,43,RBPJ:EBOX,tf
RELA,20,RELA,tf
REST,1,REST,tf
RFX1,37,RFX1,tf
RFX2,37,RFX2,tf
RFX3,36,RFX3,tf
RFX5,35,RFX5,tf
RFX6,17,RFX6,tf
RGS9,18,RGS9,gene
RHOF,8,RHOF,gene
RMND5A,20,RMND5A,gene
RORA,15,RORA,tf
RORC,10,RORC,tf
RORG,19,RORG,tf
RPL13AP17,6,RPL13AP17,gene
RSPO2,14,RSPO2,gene
RUNX,23,RUNX,tf
RUNX-AML,16,RUNX-AML,tf
RUNX1,19,RUNX1,tf
RUNX2,8,RUNX2,tf
RXRA,23,RXRA,tf
SCHIP1,6,SCHIP1,gene
SCRT1,14,SCRT1,tf
SERPINA9,15,SERPINA9,gene
SH2B1,9,SH2B1,gene
SH3GL2,11,SH3GL2,gene
SHC4,14,SHC4,gene
SIM1,6,SIM1,gene
SIX1,19,SIX1,tf
SIX2,2,SIX2,tf
SIX4,7,SIX4,tf
SLC15A2,25,SLC15A2,gene
SLC1A3,9,SLC1A3,gene
SLC22A1,21,SLC22A1,gene
SLC2A9,5,SLC2A9,gene
SLMAP,6,SLMAP,gene
SLUG,24,SLUG,tf
SMARCA2,7,SMARCA2,gene
SMIM3,12,SMIM3,gene
SMYD3,13,SMYD3,gene
SND1-IT1,18,SND1-IT1,gene
SNORA70I,1,SNORA70I,gene
SNORA89,15,SNORA89,gene
SNORD153,10,SNORD153,gene
SNORD158,28,SNORD158,gene
SNTG1,22,SNTG1,gene
SNX29,24,SNX29,gene
SOAT2,23,SOAT2,gene
SORCS1,14,SORCS1,gene
SORCS3-AS1,26,SORCS3-AS1,gene
SOX15,11,SOX15,tf
SOX17,4,SOX17,tf
SOX2,20,SOX2,tf
SOX4,42,SOX4,tf
SOX9,5,SOX9,tf
SP1,39,SP1,tf
SP2,45,SP2,tf
SP5,50,SP5,tf
SPDEF,23,SPDEF,tf
SPEF2,8,SPEF2,gene
SPI1,41,SPI1,tf
SPIB,21,SPIB,tf
SPIN1,18,SPIN1,gene
SPTBN2,17,SPTBN2,gene
SREBF1,13,SREBF1,tf
SREBF2,9,SREBF2,tf
SRF,11,SRF,tf
ST18,10,ST18,gene
STARD13-AS,15,STARD13-AS,gene
STAT1,18,STAT1,tf
STAT3,7,STAT3,tf
STAT3+IL21,12,STAT3+IL21,tf
STAT4,13,STAT4,tf
STAT5A,20,STAT5A,tf
STAT6,16,STAT6,tf
STAT6_2,26,STAT6_2,tf
STEAP1B,27,STEAP1B,gene
STK4,4,STK4,gene
STXBP2,7,STXBP2,gene
SUSD4,9,SUSD4,gene
SYNE1,3,SYNE1,gene
T,3,T,tf
T1ISRE,5,T1ISRE,tf
TADA1,13,TADA1,gene
TARS,11,TARS,gene
TBOX:SMAD,17,TBOX:SMAD,tf
TBP,12,TBP,tf
TBX20,7,TBX20,tf
TBX21,1,TBX21,tf
TBX21_2,7,TBX21_2,tf
TBX6,1,TBX6,tf
TCF12,29,TCF12,tf
TCF21,35,TCF21,tf
TCF3,12,TCF3,tf
TCF4,1,TCF4,tf
TCF7,5,TCF7,tf
TCF7L1,13,TCF7L1,tf
TCFL2,2,TCFL2,tf
TEAD,38,TEAD,tf
TEAD1,29,TEAD1,tf
TEAD2,26,TEAD2,tf
TEAD3,20,TEAD3,tf
TEAD4,8,TEAD4,tf
TENM2,15,TENM2,gene
TFAP2A,14,TFAP2A,tf
TFAP2C,17,TFAP2C,tf
TFAP4,1,TFAP4,tf
TFCP2L1,6,TFCP2L1,tf
TFE3,22,TFE3,tf
TGFB1I1,21,TGFB1I1,gene
THAP11,7,THAP11,tf
THRA,24,THRA,tf
THRB,30,THRB,tf
TIAM1,14,TIAM1,gene
TIPARP,16,TIPARP,gene
TM4SF4,12,TM4SF4,gene
TMA16,4,TMA16,gene
TMC7,12,TMC7,gene
TMEM108-AS1,14,TMEM108-AS1,gene
TMEM131,15,TMEM131,gene
TMEM132D-AS2,20,TMEM132D-AS2,gene
TMEM167A,9,TMEM167A,gene
TNNI3K,17,TNNI3K,gene
TP53,13,TP53,tf
TP63,13,TP63,tf
TREML3P,23,TREML3P,gene
TRG-AS1,12,TRG-AS1,gene
TRHDE-AS1,6,TRHDE-AS1,gene
TRIM23,16,TRIM23,gene
TRIM32,20,TRIM32,gene
TRIM37,22,TRIM37,gene
TRMT9B,20,TRMT9B,gene
TRPM2-AS,5,TRPM2-AS,gene
TSHB,5,TSHB,gene
TSKS,10,TSKS,gene
TSPEAR-AS2,12,TSPEAR-AS2,gene
TUBE1,10,TUBE1,gene
TWIST,15,TWIST,tf
TXK,8,TXK,gene
TXNL4A,13,TXNL4A,gene
UNKNOWN-ESC-ELEMENT,32,UNKNOWN-ESC-ELEMENT,tf
UPP2,11,UPP2,gene
USF1,4,USF1,tf
USF2,1,USF2,tf
VAV1,14,VAV1,gene
VDR,26,VDR,tf
VIPR2,15,VIPR2,gene
WT1,25,WT1,tf
X-BOX,35,X-BOX,tf
XDH,14,XDH,gene
YY1,4,YY1,tf
ZBED1,2,ZBED1,gene
ZBTB12,5,ZBTB12,tf
ZBTB18,18,ZBTB18,tf
ZBTB7C,3,ZBTB7C,gene
ZEB1,2,ZEB1,tf
ZEB2,49,ZEB2,tf
ZFP281,40,ZFP281,tf
ZFP809,19,ZFP809,tf
ZFPM2-AS1,14,ZFPM2-AS1,gene
ZFR2,19,ZFR2,gene
ZFX,21,ZFX,tf
ZIC1,25,ZIC1,tf
ZIC3,32,ZIC3,tf
ZKSCAN1,4,ZKSCAN1,tf
ZMAT4,15,ZMAT4,gene
ZNF136,11,ZNF136,tf
ZNF143,36,ZNF143,tf
ZNF16,2,ZNF16,tf
ZNF165,43,ZNF165,tf
ZNF189,6,ZNF189,tf
ZNF219,15,ZNF219,gene
ZNF263,42,ZNF263,tf
ZNF264,2,ZNF264,tf
ZNF267,13,ZNF267,gene
ZNF317,9,ZNF317,tf
ZNF32,12,ZNF32,gene
ZNF322,27,ZNF322,tf
ZNF382,11,ZNF382,tf
ZNF41,6,ZNF41,tf
ZNF415,20,ZNF415,tf
ZNF416,2,ZNF416,tf
ZNF439,12,ZNF439,gene
ZNF441,15,ZNF441,gene
ZNF467,41,ZNF467,tf
ZNF519,9,ZNF519,tf
ZNF528,11,ZNF528,tf
ZNF652,9,ZNF652,tf
ZNF669,2,ZNF669,tf
ZNF675,8,ZNF675,tf
ZNF692,8,ZNF692,tf
ZNF7,11,ZNF7,tf
ZNF767P,21,ZNF767P,gene
ZNF833P,18,ZNF833P,gene
ZSCAN22,15,ZSCAN22,tf
