Id,Weight,Label,type
ABCA13,20,ABCA13,gene
ABCC12,21,ABCC12,gene
ABCG1,22,ABCG1,gene
ABHD12,7,ABHD12,gene
ABLIM3,17,ABLIM3,gene
ACAP2,11,ACAP2,gene
ACSBG2,23,ACSBG2,gene
ACSF3,11,ACSF3,gene
ACYP2,13,ACYP2,gene
ADAMTS16,27,ADAMTS16,gene
ADAMTS3,5,ADAMTS3,gene
ADAMTS9,20,ADAMTS9,gene
ADAMTSL3,14,ADAMTSL3,gene
ADCY2,20,ADCY2,gene
ADGRB3,14,ADGRB3,gene
ADGRV1,32,ADGRV1,gene
AGBL4-IT1,9,AGBL4-IT1,gene
AGPAT3,16,AGPAT3,gene
AKAP14,11,AKAP14,gene
AMPD3,6,AMPD3,gene
AMPH,11,AMPH,gene
ANKFN1,6,ANKFN1,gene
ANKHD1,15,ANKHD1,gene
ANKRD26P1,12,ANKRD26P1,gene
ANKS1B,19,ANKS1B,gene
ANO4,20,ANO4,gene
ANO8,15,ANO8,gene
ANP32B,2,ANP32B,gene
ANTXRLP1,11,ANTXRLP1,gene
APBB2,4,APBB2,gene
APOL4,5,APOL4,gene
AQP4,12,AQP4,gene
AR,10,AR,tf
AR-HALFSITE,13,AR-HALFSITE,tf
ARHGAP26-IT1,14,ARHGAP26-IT1,gene
ARL14,4,ARL14,gene
ARNT,1,ARNT,tf
ASB2,20,ASB2,gene
ASS1,19,ASS1,gene
ATF1,3,ATF1,tf
ATF2,3,ATF2,tf
ATF3,109,ATF3,tf
ATF4,16,ATF4,tf
ATF7,4,ATF7,tf
ATOH1,25,ATOH1,tf
ATP10B,16,ATP10B,gene
ATP11A-AS1,6,ATP11A-AS1,gene
BACH1,25,BACH1,tf
BACH2,82,BACH2,tf
BARX2,16,BARX2,gene
BATF,114,BATF,tf
BCAR1,23,BCAR1,gene
BCL10,22,BCL10,gene
BCL11A,12,BCL11A,tf
BCL6,11,BCL6,tf
BHLHE40,3,BHLHE40,tf
BHLHE41,3,BHLHE41,tf
BSN,15,BSN,gene
BTBD11,19,BTBD11,gene
BZIP:IRF,20,BZIP:IRF,tf
C-JUN-CRE,14,C-JUN-CRE,tf
C19orf33,16,C19orf33,gene
C19orf81,26,C19orf81,gene
C1orf100,16,C1orf100,gene
C1orf158,7,C1orf158,gene
C1QTNF7,10,C1QTNF7,gene
C4orf19,9,C4orf19,gene
C8B,20,C8B,gene
C8orf37,4,C8orf37,gene
CA10,23,CA10,gene
CACNA1C-AS4,14,CACNA1C-AS4,gene
CAMTA1,15,CAMTA1,gene
CAPN13,32,CAPN13,gene
CAT,17,CAT,gene
CATIP,20,CATIP,gene
CBFA2T2,13,CBFA2T2,gene
CCDC93,7,CCDC93,gene
CCL20,6,CCL20,gene
CCSER2,31,CCSER2,gene
CD226,3,CD226,gene
CDCA7L,17,CDCA7L,gene
CDK6,23,CDK6,gene
CDX2,14,CDX2,tf
CEBP:AP1,11,CEBP:AP1,tf
CEBP:CEBP,17,CEBP:CEBP,tf
CEBPB,4,CEBPB,tf
CELF5,20,CELF5,gene
CEP162,12,CEP162,gene
CFAP157,13,CFAP157,gene
CFDP1,14,CFDP1,gene
CHR,24,CHR,tf
CITED4,18,CITED4,gene
CLEC2A,15,CLEC2A,gene
CLSTN2-AS1,5,CLSTN2-AS1,gene
CLVS1,11,CLVS1,gene
CNGA3,20,CNGA3,gene
CNTN4,20,CNTN4,gene
COL6A5,7,COL6A5,gene
COUP-TFII,9,COUP-TFII,tf
CPT1C,17,CPT1C,gene
CREB1,2,CREB1,tf
CSF1,10,CSF1,gene
CSMD1,10,CSMD1,gene
CST13P,13,CST13P,gene
CST3,10,CST3,gene
CTCF,20,CTCF,tf
CTCF-SATELLITEELEMENT,3,CTCF-SATELLITEELEMENT,tf
CTCFL,33,CTCFL,tf
CTNND2,20,CTNND2,gene
CUL1,24,CUL1,gene
CUX2,6,CUX2,tf
CYP4A11,18,CYP4A11,gene
CYP4A22,21,CYP4A22,gene
CYP51A1,4,CYP51A1,gene
DACH1,12,DACH1,gene
DAPP1,16,DAPP1,gene
DCAF5,11,DCAF5,gene
DDIT3,16,DDIT3,tf
DIO2,13,DIO2,gene
DISP3,4,DISP3,gene
DLGAP1,4,DLGAP1,gene
DLX3,2,DLX3,tf
DMBT1P1,10,DMBT1P1,gene
DMC1,11,DMC1,tf
DMRT1,9,DMRT1,tf
DMRT3,18,DMRT3,gene
DMRT6,8,DMRT6,tf
DNAJB8-AS1,15,DNAJB8-AS1,gene
DNASE2,12,DNASE2,gene
DOCK10,11,DOCK10,gene
DPT,6,DPT,gene
DPY19L1P1,25,DPY19L1P1,gene
DROSHA,28,DROSHA,gene
DTNBP1,15,DTNBP1,gene
DUSP27,10,DUSP27,gene
DUX,3,DUX,tf
DUX4,9,DUX4,tf
E-BOX,4,E-BOX,tf
E2A,2,E2A,tf
E2F,3,E2F,tf
E2F1,6,E2F1,tf
E2F3,7,E2F3,tf
E2F4,1,E2F4,tf
E2F6,1,E2F6,tf
E2F7,5,E2F7,tf
EAR2,4,EAR2,tf
EBF1,18,EBF1,tf
EBF1_2,18,EBF1_2,tf
EBF2,6,EBF2,tf
EBNA1,1,EBNA1,tf
EDEM1,29,EDEM1,gene
EGF,16,EGF,gene
EGR1,13,EGR1,tf
EGR2,17,EGR2,tf
EHF,34,EHF,tf
EIF2AK3,15,EIF2AK3,gene
ELF1,5,ELF1,tf
ELF3,49,ELF3,tf
ELF4,19,ELF4,tf
ELF5,40,ELF5,tf
EOMES,7,EOMES,tf
EPAS1,2,EPAS1,tf
EPHB1,9,EPHB1,gene
ERG,42,ERG,tf
ESR1,9,ESR1,tf
ESRRA,20,ESRRA,tf
ESRRB,10,ESRRB,tf
ESYT2,33,ESYT2,gene
ETS,7,ETS,tf
ETS:E-BOX,21,ETS:E-BOX,tf
ETS:RUNX,11,ETS:RUNX,tf
ETS1,48,ETS1,tf
ETS1-DISTAL,49,ETS1-DISTAL,tf
ETV1,5,ETV1,tf
ETV5,17,ETV5,gene
EWS:ERG-FUSION,36,EWS:ERG-FUSION,tf
EWS:FLI1-FUSION,62,EWS:FLI1-FUSION,tf
FAAH,17,FAAH,gene
FAM133CP,10,FAM133CP,gene
FAM135B,14,FAM135B,gene
FAM151A,15,FAM151A,gene
FAM172BP,10,FAM172BP,gene
FAM187A,16,FAM187A,gene
FAM19A4,21,FAM19A4,gene
FBXO38,16,FBXO38,gene
FBXO8,26,FBXO8,gene
FCAR,13,FCAR,gene
FOS,133,FOS,tf
FOSL1,20,FOSL1,tf
FOX:EBOX,20,FOX:EBOX,tf
FOXA1,19,FOXA1,tf
FOXA1_2,18,FOXA1_2,tf
FOXA1:AR,12,FOXA1:AR,tf
FOXA2,32,FOXA2,tf
FOXA3,15,FOXA3,tf
FOXF1,18,FOXF1,tf
FOXH1,2,FOXH1,tf
FOXK2,11,FOXK2,tf
FOXL2_2,35,FOXL2_2,tf
FOXM1,12,FOXM1,tf
FOXN3,21,FOXN3,gene
FOXO1,10,FOXO1,tf
FOXO3,48,FOXO3,tf
FOXP1,43,FOXP1,tf
FRA2,115,FRA2,tf
FRMPD2,7,FRMPD2,gene
FRY-AS1,6,FRY-AS1,gene
FRZB,14,FRZB,gene
FTO,18,FTO,gene
GABBR2,11,GABBR2,gene
GABPA,3,GABPA,tf
GABRB3,17,GABRB3,gene
GADL1,3,GADL1,gene
GATA,12,GATA,tf
GATA_2,5,GATA_2,tf
GATA:SCL,4,GATA:SCL,tf
GATA1,17,GATA1,tf
GATA2,14,GATA2,tf
GATA3,6,GATA3,tf
GATA3_2,5,GATA3_2,tf
GATA6,6,GATA6,tf
GBX2,18,GBX2,gene
GDNF,27,GDNF,gene
GFI1B,16,GFI1B,tf
GFY,14,GFY,tf
GFY-STAF,6,GFY-STAF,tf
GJA8,14,GJA8,gene
GLI3,10,GLI3,tf
GLIS3,17,GLIS3,tf
GLRA1,20,GLRA1,gene
GNAI2,8,GNAI2,gene
GNG4,23,GNG4,gene
GOLGA6L5P,17,GOLGA6L5P,gene
GPC5-AS1,9,GPC5-AS1,gene
GPR176,24,GPR176,gene
GRE,6,GRE,tf
GRHL1,11,GRHL1,gene
GRHL2,10,GRHL2,tf
GRIN2B,15,GRIN2B,gene
GRM1,11,GRM1,gene
GRTP1-AS1,34,GRTP1-AS1,gene
GZMH,8,GZMH,gene
HAND2,34,HAND2,tf
HECTD4,16,HECTD4,gene
