Source,Target,Weight
FOS,PYGB,0.076551262181957
ATF3,PYGB,0.0981190054461635
BACH2,PYGB,0.120516409909466
BATF,PYGB,0.060394053006438
POU3F3,PYGB,0.0936039350859923
DMC1,PYGB,0.0797492300482757
ESRRA,PYGB,0.168025018002347
FOXA1,PYGB,0.079124573532312
FOXA1_2,PYGB,0.0861977026139051
FOXM1,PYGB,0.0766007017378093
FRA2,PYGB,0.106220079902984
JUN,PYGB,0.090259167971091
JUNB,PYGB,0.0533946741842842
POU3F1,PYGB,0.0982177092402942
ZNF322,PYGB,0.19219949983434
ZNF467,PYGB,0.0975342628978679
ATF3,LINC00504,0.0807684679839967
BATF,LINC00504,0.0624448011080563
DMC1,LINC00504,0.131663744091952
RAR:RXR,LINC00504,0.0959896566322269
ESRRB,LINC00504,0.0602733176371816
JUN,LINC00504,0.053486715910605
PKNOX1,LINC00504,0.0837362438757265
SIX1,LINC00504,0.0680056407968055
TEAD2,LINC00504,0.0709933444527735
TEAD3,LINC00504,0.0999877154668363
TEAD,LINC00504,0.0790422327117495
VDR,LINC00504,0.0605323201330888
ZNF263,LINC00504,0.0582609640842573
FOS,TIAM1,0.0547172699621204
JUN,TIAM1,0.0562656163360054
KLF3,TIAM1,0.0888766720221572
NR5A2,TIAM1,0.104479234832908
NR1H2,TIAM1,0.0600677870013276
MNT,TIAM1,0.0741570085137905
NR5A2_2,TIAM1,0.141339813193896
SPI1,TIAM1,0.0545817494774614
RARG,TIAM1,0.234809092080112
RBPJ:EBOX,TIAM1,0.146752334215088
THRB,TIAM1,0.117227802857418
THRA,TIAM1,0.133437724183503
ZNF263,TIAM1,0.0668275066998995
ZNF652,TIAM1,0.112480202955005
ATF3,TENM2,0.0510603206872153
BZIP:IRF,TENM2,0.0878355778288844
FRA2,TENM2,0.053788203698598
HOXA1,TENM2,0.0660071957714139
JUN,TENM2,0.0676462982094108
LEF1,TENM2,0.138076744068453
PBX2,TENM2,0.0709284769504142
PRDM1,TENM2,0.0695042554188817
RFX1,TENM2,0.0958385328834869
RUNX1,TENM2,0.0726176617753679
TCF7L1,TENM2,0.151918475605698
TCFL2,TENM2,0.196941606452769
TCF7,TENM2,0.0560732345181971
X-BOX,TENM2,0.0636827769368686
ZNF415,TENM2,0.0897870961836501
POU3F3,LINC02535,0.103949191367683
EWS:ERG-FUSION,LINC02535,0.116817384416814
EWS:FLI1-FUSION,LINC02535,0.0676430256146973
MNT,LINC02535,0.101828433114869
POU3F1,LINC02535,0.10208492272555
TBX21_2,LINC02535,0.068941427567329
TCF7L1,LINC02535,0.0972520600430087
TEAD2,LINC02535,0.103235181328199
TEAD3,LINC02535,0.0930674633097227
TEAD,LINC02535,0.0717425348854291
ZNF136,LINC02535,0.273306259993871
BHLHE40,TRHDE-AS1,0.0819508097026774
BHLHE41,TRHDE-AS1,0.0763838923380314
NKX3-1,TRHDE-AS1,0.104413899817018
OCT:OCT_3,TRHDE-AS1,0.202647141579214
TWIST,TRHDE-AS1,0.161376741841612
ZBTB18,TRHDE-AS1,0.121716283385541
ESRRB,IFT81,0.0885665936730409
EWS:FLI1-FUSION,IFT81,0.0596417068574516
NR5A2,IFT81,0.0659520876140041
PRDM1,IFT81,0.123048287873179
RARG,IFT81,0.0755803534574532
RBPJ:EBOX,IFT81,0.121597242752833
RFX2,IFT81,0.090255836937186
RFX3,IFT81,0.119015866794076
STAT6,IFT81,0.152830419186165
STAT6_2,IFT81,0.0822483820648523
X-BOX,IFT81,0.0673951265651399
ZNF652,IFT81,0.192771327321355
FOS,RSPO2,0.0551407203423872
ATF3,RSPO2,0.0638831064846956
KLF1,RSPO2,0.157893240086529
FRA2,RSPO2,0.0521500947268534
JUN,RSPO2,0.0558898523358514
KLF3,RSPO2,0.0522472206628185
KLF4,RSPO2,0.0790317136573128
NEUROD1,RSPO2,0.143820849061165
NEUROG2,RSPO2,0.172851452373843
OLIG2,RSPO2,0.0563778780225212
PPARA,RSPO2,0.0516395115123362
NR2C2,RSPO2,0.129079153977673
VDR,RSPO2,0.199957536238143
ZNF675,RSPO2,0.0757416456254821
CTCFL,ZNF32,0.239389088381834
POU3F3,ZNF32,0.0985473647185009
CTCF,ZNF32,0.40546181601694
DMC1,ZNF32,0.108051388841215
NR5A2,ZNF32,0.0738012891562574
NEUROD1,ZNF32,0.132961503213479
NEUROG2,ZNF32,0.0865762132560509
NR5A2_2,ZNF32,0.097141084018702
POU5F1,ZNF32,0.121515544763375
POU3F1,ZNF32,0.115556325107433
PITX1:EBOX,ZNF32,0.0521947422690179
